StudentID,DisciplineCode,Term,AttemptNumber,DisciplineCredits,HistoricalFailureRate,FinalResult
10001,0,4,1,4,0.18,1
10002,0,3,1,4,0.18,1
10003,0,5,1,4,0.18,0
10003,0,5,2,4,0.18,0
10003,0,5,3,4,0.18,0
10004,0,3,1,4,0.18,1
10005,0,6,1,4,0.18,1
10006,0,2,1,4,0.18,1
10007,0,6,1,4,0.18,1
10008,0,4,1,4,0.18,1
10009,0,6,1,4,0.18,1
10010,0,3,1,4,0.18,1
10011,0,5,1,4,0.18,1
10012,0,6,1,4,0.18,1
10013,0,1,1,4,0.18,1
10014,0,6,1,4,0.18,1
10015,0,4,1,4,0.18,0
10015,0,4,2,4,0.18,0
10015,0,4,3,4,0.18,1
10016,0,2,1,4,0.18,1
10017,0,8,1,4,0.18,1
10018,0,5,1,4,0.18,0
10018,0,5,2,4,0.18,0
10018,0,5,3,4,0.18,0
10019,0,7,1,4,0.18,1
10020,0,7,1,4,0.18,1
10021,0,3,1,4,0.18,0
10021,0,3,2,4,0.18,0
10021,0,3,3,4,0.18,1
10022,0,2,1,4,0.18,1
10023,0,2,1,4,0.18,1
10024,0,3,1,4,0.18,0
10024,0,3,2,4,0.18,0
10024,0,3,3,4,0.18,1
10025,0,2,1,4,0.18,1
10026,0,7,1,4,0.18,1
10027,0,4,1,4,0.18,0
10027,0,4,2,4,0.18,1
10028,0,1,1,4,0.18,1
10029,0,4,1,4,0.18,1
10030,0,8,1,4,0.18,1
10031,0,6,1,4,0.18,1
10032,0,4,1,4,0.18,0
10032,0,4,2,4,0.18,1
10033,0,6,1,4,0.18,1
10034,0,2,1,4,0.18,1
10035,0,2,1,4,0.18,1
10036,0,5,1,4,0.18,0
10036,0,5,2,4,0.18,0
10036,0,5,3,4,0.18,0
10037,0,5,1,4,0.18,1
10038,0,3,1,4,0.18,1
10039,0,4,1,4,0.18,1
10040,0,5,1,4,0.18,0
10040,0,5,2,4,0.18,0
10040,0,5,3,4,0.18,0
10041,0,4,1,4,0.18,1
10042,0,3,1,4,0.18,0
10042,0,3,2,4,0.18,0
10042,0,3,3,4,0.18,1
10043,0,2,1,4,0.18,0
10043,0,2,2,4,0.18,1
10044,0,8,1,4,0.18,1
10045,0,8,1,4,0.18,1
10046,0,4,1,4,0.18,1
10047,0,2,1,4,0.18,1
10048,0,8,1,4,0.18,0
10048,0,8,2,4,0.18,0
10048,0,8,3,4,0.18,1
10049,0,6,1,4,0.18,1
10050,0,7,1,4,0.18,1
10051,0,5,1,4,0.18,1
10052,0,2,1,4,0.18,1
10053,0,5,1,4,0.18,0
10053,0,5,2,4,0.18,0
10053,0,5,3,4,0.18,1
10054,0,3,1,4,0.18,0
10054,0,3,2,4,0.18,1
10055,0,3,1,4,0.18,1
10056,0,4,1,4,0.18,1
10057,0,5,1,4,0.18,0
10057,0,5,2,4,0.18,0
10057,0,5,3,4,0.18,0
10058,0,5,1,4,0.18,1
10059,0,7,1,4,0.18,1
10060,0,4,1,4,0.18,1
10061,0,6,1,4,0.18,0
10061,0,6,2,4,0.18,1
10062,0,8,1,4,0.18,1
10063,0,6,1,4,0.18,0
10063,0,6,2,4,0.18,0
10063,0,6,3,4,0.18,1
10064,0,5,1,4,0.18,1
10065,0,2,1,4,0.18,1
10066,0,2,1,4,0.18,0
10066,0,2,2,4,0.18,0
10066,0,2,3,4,0.18,0
10067,0,2,1,4,0.18,1
10068,0,8,1,4,0.18,1
10069,0,3,1,4,0.18,1
10070,0,6,1,4,0.18,1
10071,0,2,1,4,0.18,1
10072,0,8,1,4,0.18,1
10073,0,5,1,4,0.18,1
10074,0,2,1,4,0.18,1
10075,0,3,1,4,0.18,1
10076,0,2,1,4,0.18,1
10077,0,7,1,4,0.18,1
10078,0,4,1,4,0.18,1
10079,0,6,1,4,0.18,1
10080,0,2,1,4,0.18,1
10081,0,7,1,4,0.18,1
10082,0,2,1,4,0.18,1
10083,0,8,1,4,0.18,1
10084,0,7,1,4,0.18,1
10085,0,3,1,4,0.18,1
10086,0,2,1,4,0.18,0
10086,0,2,2,4,0.18,1
10087,0,6,1,4,0.18,1
10088,0,3,1,4,0.18,0
10088,0,3,2,4,0.18,0
10088,0,3,3,4,0.18,0
10089,0,2,1,4,0.18,1
10090,0,8,1,4,0.18,0
10090,0,8,2,4,0.18,0
10090,0,8,3,4,0.18,1
10091,0,2,1,4,0.18,1
10092,0,3,1,4,0.18,0
10092,0,3,2,4,0.18,0
10092,0,3,3,4,0.18,1
10093,0,1,1,4,0.18,0
10093,0,1,2,4,0.18,1
10094,0,6,1,4,0.18,1
10095,0,2,1,4,0.18,1
10096,0,4,1,4,0.18,0
10096,0,4,2,4,0.18,0
10096,0,4,3,4,0.18,0
10097,0,3,1,4,0.18,1
10098,0,3,1,4,0.18,0
10098,0,3,2,4,0.18,0
10098,0,3,3,4,0.18,0
10099,0,3,1,4,0.18,0
10099,0,3,2,4,0.18,0
10099,0,3,3,4,0.18,0
10100,0,2,1,4,0.18,1
10101,0,4,1,4,0.18,1
10102,0,4,1,4,0.18,1
10103,0,2,1,4,0.18,1
10104,0,6,1,4,0.18,1
10105,0,8,1,4,0.18,0
10105,0,8,2,4,0.18,1
10106,0,2,1,4,0.18,1
10107,0,4,1,4,0.18,1
10108,0,6,1,4,0.18,1
10109,0,4,1,4,0.18,1
10110,0,8,1,4,0.18,1
10111,0,3,1,4,0.18,1
10112,0,1,1,4,0.18,1
10113,0,8,1,4,0.18,1
10114,0,8,1,4,0.18,1
10115,0,7,1,4,0.18,1
10116,0,7,1,4,0.18,1
10117,0,7,1,4,0.18,1
10118,0,4,1,4,0.18,1
10119,0,1,1,4,0.18,1
10120,0,7,1,4,0.18,1
10121,0,7,1,4,0.18,0
10121,0,7,2,4,0.18,0
10121,0,7,3,4,0.18,0
10122,0,5,1,4,0.18,1
10123,0,4,1,4,0.18,1
10124,0,4,1,4,0.18,1
10125,0,4,1,4,0.18,1
10126,0,8,1,4,0.18,1
10127,0,4,1,4,0.18,1
10128,0,2,1,4,0.18,1
10129,0,7,1,4,0.18,1
10130,0,8,1,4,0.18,0
10130,0,8,2,4,0.18,1
10131,0,4,1,4,0.18,1
10132,0,1,1,4,0.18,1
10133,0,3,1,4,0.18,1
10134,0,3,1,4,0.18,0
10134,0,3,2,4,0.18,0
10134,0,3,3,4,0.18,1
10135,0,5,1,4,0.18,1
10136,0,4,1,4,0.18,1
10137,0,1,1,4,0.18,0
10137,0,1,2,4,0.18,0
10137,0,1,3,4,0.18,0
10138,0,3,1,4,0.18,1
10139,0,6,1,4,0.18,1
10140,0,8,1,4,0.18,1
10141,0,8,1,4,0.18,0
10141,0,8,2,4,0.18,0
10141,0,8,3,4,0.18,1
10142,0,3,1,4,0.18,1
10143,0,8,1,4,0.18,1
10144,0,3,1,4,0.18,1
10145,0,1,1,4,0.18,1
10146,0,8,1,4,0.18,1
10147,0,5,1,4,0.18,0
10147,0,5,2,4,0.18,1
10148,0,2,1,4,0.18,1
10149,0,3,1,4,0.18,0
10149,0,3,2,4,0.18,1
10150,0,1,1,4,0.18,1
10151,0,8,1,4,0.18,1
10152,0,7,1,4,0.18,1
10153,0,2,1,4,0.18,0
10153,0,2,2,4,0.18,1
10154,0,2,1,4,0.18,1
10155,0,2,1,4,0.18,1
10156,0,2,1,4,0.18,1
10157,0,5,1,4,0.18,1
10158,0,1,1,4,0.18,1
10159,0,7,1,4,0.18,1
10160,0,5,1,4,0.18,0
10160,0,5,2,4,0.18,1
10161,0,2,1,4,0.18,1
10162,0,6,1,4,0.18,1
10163,0,8,1,4,0.18,1
10164,0,3,1,4,0.18,1
10165,0,1,1,4,0.18,1
10166,0,3,1,4,0.18,1
10167,0,2,1,4,0.18,1
10168,0,8,1,4,0.18,1
10169,0,3,1,4,0.18,1
10170,0,7,1,4,0.18,0
10170,0,7,2,4,0.18,0
10170,0,7,3,4,0.18,1
10171,0,6,1,4,0.18,1
10172,0,3,1,4,0.18,1
10173,0,5,1,4,0.18,1
10174,0,6,1,4,0.18,1
10175,0,6,1,4,0.18,1
10176,0,3,1,4,0.18,1
10177,0,8,1,4,0.18,1
10178,0,3,1,4,0.18,1
10179,0,4,1,4,0.18,1
10180,0,3,1,4,0.18,0
10180,0,3,2,4,0.18,0
10180,0,3,3,4,0.18,0
10181,0,3,1,4,0.18,1
10182,0,7,1,4,0.18,1
10183,0,3,1,4,0.18,1
10184,0,1,1,4,0.18,1
10185,0,5,1,4,0.18,1
10186,0,2,1,4,0.18,1
10187,0,2,1,4,0.18,1
10188,0,1,1,4,0.18,0
10188,0,1,2,4,0.18,1
10189,0,5,1,4,0.18,0
10189,0,5,2,4,0.18,1
10190,0,1,1,4,0.18,1
10191,0,2,1,4,0.18,1
10192,0,6,1,4,0.18,1
10193,0,4,1,4,0.18,0
10193,0,4,2,4,0.18,1
10194,0,5,1,4,0.18,1
10195,0,6,1,4,0.18,1
10196,0,3,1,4,0.18,1
10197,0,6,1,4,0.18,1
10198,0,7,1,4,0.18,1
10199,0,1,1,4,0.18,0
10199,0,1,2,4,0.18,0
10199,0,1,3,4,0.18,0
10200,0,6,1,4,0.18,1
10201,0,3,1,4,0.18,0
10201,0,3,2,4,0.18,0
10201,0,3,3,4,0.18,1
10202,0,5,1,4,0.18,1
10203,0,4,1,4,0.18,1
10204,0,7,1,4,0.18,1
10205,0,8,1,4,0.18,1
10206,0,1,1,4,0.18,1
10207,0,7,1,4,0.18,1
10208,0,3,1,4,0.18,0
10208,0,3,2,4,0.18,0
10208,0,3,3,4,0.18,1
10209,0,3,1,4,0.18,0
10209,0,3,2,4,0.18,0
10209,0,3,3,4,0.18,1
10210,0,2,1,4,0.18,1
10211,0,2,1,4,0.18,1
10212,0,7,1,4,0.18,0
10212,0,7,2,4,0.18,0
10212,0,7,3,4,0.18,0
10213,0,3,1,4,0.18,1
10214,0,3,1,4,0.18,0
10214,0,3,2,4,0.18,0
10214,0,3,3,4,0.18,1
10215,0,3,1,4,0.18,0
10215,0,3,2,4,0.18,1
10216,0,1,1,4,0.18,1
10217,0,7,1,4,0.18,1
10218,0,3,1,4,0.18,0
10218,0,3,2,4,0.18,0
10218,0,3,3,4,0.18,0
10219,0,7,1,4,0.18,1
10220,0,6,1,4,0.18,1
10221,0,3,1,4,0.18,1
10222,0,5,1,4,0.18,1
10223,0,3,1,4,0.18,0
10223,0,3,2,4,0.18,0
10223,0,3,3,4,0.18,0
10224,0,1,1,4,0.18,1
10225,0,2,1,4,0.18,1
10226,0,4,1,4,0.18,1
10227,0,1,1,4,0.18,1
10228,0,8,1,4,0.18,1
10229,0,2,1,4,0.18,1
10230,0,2,1,4,0.18,1
10231,0,5,1,4,0.18,1
10232,0,7,1,4,0.18,1
10233,0,5,1,4,0.18,0
10233,0,5,2,4,0.18,0
10233,0,5,3,4,0.18,0
10234,0,1,1,4,0.18,1
10235,0,2,1,4,0.18,1
10236,0,5,1,4,0.18,1
10237,0,8,1,4,0.18,1
10238,0,5,1,4,0.18,0
10238,0,5,2,4,0.18,0
10238,0,5,3,4,0.18,0
10239,0,1,1,4,0.18,1
10240,0,2,1,4,0.18,1
10241,0,2,1,4,0.18,1
10242,0,7,1,4,0.18,1
10243,0,7,1,4,0.18,0
10243,0,7,2,4,0.18,0
10243,0,7,3,4,0.18,1
10244,0,1,1,4,0.18,1
10245,0,7,1,4,0.18,1
10246,0,1,1,4,0.18,1
10247,0,2,1,4,0.18,1
10248,0,7,1,4,0.18,1
10249,0,4,1,4,0.18,1
10250,0,2,1,4,0.18,1
10251,0,1,1,4,0.18,1
10252,0,2,1,4,0.18,1
